ID,City.1,Country,Max Temp,Weather Description,lat,lng,Hotel Name
13,Hithadhoo,MV,81.07,broken clouds,-0.6,73.0833,Scoop Guest House
14,Sao Felix Do Xingu,BR,82.2,light rain,-6.6447,-51.995,Rio Xingu Camping
17,Kapaa,US,80.92,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Delta Del Tigre,UY,75.61,broken clouds,-34.7633,-56.3853,FINCA SUAREZ
19,Butaritari,KI,80.71,broken clouds,3.0707,172.7902,Isles Sunset Lodge
26,Dicabisagan,PH,76.75,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
29,Lompoc,US,75.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
31,Sorong,ID,79.11,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
33,Hilo,US,84.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
38,Victoria,HK,75.38,clear sky,22.2855,114.1577,Mini Central
39,Namatanai,PG,80.87,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
44,Sola,VU,82.36,few clouds,-13.8833,167.55,Leumerus Bungalows
50,Neiafu,TO,78.51,clear sky,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
51,La Palma,US,81.5,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
52,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
55,Arraial Do Cabo,BR,75.06,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
57,Keti Bandar,PK,77.63,clear sky,24.1447,67.4497,Haji laloo memon house
64,Chiredzi,ZW,78.66,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
65,Faanui,PF,79.3,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
66,Trincomalee,LK,78.19,overcast clouds,8.5711,81.2335,Welcombe Hotel
72,Kloulklubed,PW,82.63,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
77,Tecoanapa,MX,83.91,overcast clouds,16.5167,-98.75,Hotel Manglares
79,Weligama,LK,75.22,broken clouds,5.9667,80.4167,Weligama Bay Resort
80,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
82,Kununurra,AU,78.78,clear sky,-15.7667,128.7333,Hotel Kununurra
90,Sinnamary,GF,80.67,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
93,Port Keats,AU,79.03,overcast clouds,-14.25,129.55,Kardu Durrikardu Numida Hostel
94,Atuona,PF,78.17,broken clouds,-9.8,-139.0333,Villa Enata
96,Vao,NC,75.78,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
104,Jawhar,SO,75.78,clear sky,2.7809,45.5005,Hotel Shabelle
105,Isla Vista,US,75.99,clear sky,34.4133,-119.861,Best Western Plus South Coast Inn
107,Qandala,SO,76.35,few clouds,11.472,49.8728,
109,Touros,BR,78.89,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
115,Georgetown,MY,80.24,few clouds,5.4112,100.3354,Cititel Penang
120,Vaini,TO,77.29,broken clouds,-21.2,-175.2,Keleti Beach Resort
124,Mitsamiouli,KM,78.03,scattered clouds,-11.3847,43.2844,Foyer ADM
125,Pedasi,PA,79.07,moderate rain,7.5333,-80.0333,Hotel Casa de Campo Pedasí
127,Providencia,MX,81.41,clear sky,28.7167,-111.5833,
131,Comodoro Rivadavia,AR,80.46,broken clouds,-45.8667,-67.5,Austral Hotel
132,Sao Filipe,CV,78.57,overcast clouds,14.8961,-24.4956,Hotel Xaguate
135,Pochutla,MX,89.82,few clouds,15.7432,-96.4661,Hotel Posada San Jose
138,Samarai,PG,83.14,overcast clouds,-10.6167,150.6667,Nuli Sapi
139,Bubaque,GW,83.25,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
145,Atar,MR,78.35,clear sky,20.5169,-13.0499,Oumou Elghoura
147,Luwuk,ID,77.11,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
150,Buchanan,LR,78.98,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
153,Progreso,MX,82.11,light rain,21.2833,-89.6667,Playa Linda Hotel
155,Poum,NC,77.9,broken clouds,-20.2333,164.0167,
159,Praia Grande,BR,75.34,clear sky,-24.0058,-46.4028,Hotel Rota do Sol
173,Kavieng,PG,82.87,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
177,Avarua,CK,78.85,overcast clouds,-21.2078,-159.775,Paradise Inn
186,Santa Rosa,PH,80.02,overcast clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
187,Ondjiva,AO,86.58,overcast clouds,-17.0667,15.7333,COMBUESA
188,Idah,NG,82.06,broken clouds,7.1065,6.7342,Ubiga Hotel Idah
193,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,Mercure Padang
200,Cockburn Town,TC,82.36,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
202,Axim,GH,78.6,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
203,Kinablangan,PH,76.68,heavy intensity rain,7.6947,126.5503,Morales Eatery and Lodging House
215,Moron,AR,88.95,scattered clouds,-34.6534,-58.6198,Hotel Morón
216,Catuday,PH,79.21,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
218,Lorengau,PG,82.29,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
230,Pimenta Bueno,BR,86.59,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
231,Envira,BR,87.46,overcast clouds,-7.3,-70.2167,
235,Palmerston,AU,76.98,clear sky,-12.486,130.9833,Quest Palmerston - Serviced Apartments and Accommodation
241,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
251,Dingle,PH,76.01,light rain,10.9995,122.6711,SEGAYA PROPERTY
252,Buala,SB,81.99,broken clouds,-8.145,159.5921,Maringe Lagoon Lodge
254,Viedma,AR,79.59,clear sky,-40.8135,-62.9967,Hotel Cristal
257,Maldonado,UY,75.22,overcast clouds,-34.6667,-54.9167,La Cimarrona
264,Mount Isa,AU,76.77,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
267,Isangel,VU,84.31,broken clouds,-19.55,169.2667,Tanna Lodge
271,Port Moresby,PG,80.02,haze,-9.4431,147.1797,Lamana Hotel (Port Moresby)
274,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,Hotel Vitória Palace
281,Kourou,GF,84.25,few clouds,5.1552,-52.6478,Lodge TAKINI4 Guesthouse KOUROU FGU
284,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
287,Dangriga,BZ,80.49,light rain,16.9692,-88.2321,Chaleanor Hotel
288,Tanete,ID,75.15,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
289,Bengkulu,ID,75.6,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
293,Veraval,IN,75.92,clear sky,20.9,70.3667,Lords Inn Somnath
296,Road Town,VG,82.49,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
301,Luganville,VU,82.31,clear sky,-15.5333,167.1667,The Espiritu Hotel
309,Palauig,PH,81.46,overcast clouds,15.435,119.9045,Villa Raphael Resort
324,Kilindoni,TZ,79.3,broken clouds,-7.9139,39.6668,Bustani B&B
326,Bourail,NC,77.25,overcast clouds,-21.5667,165.4833,Motel Allamanda
327,Ouegoa,NC,79.68,overcast clouds,-20.35,164.4333,
339,Mucurapo,TT,77.02,moderate rain,10.6667,-61.5333,Courtyard by Marriott Port of Spain
343,Anloga,GH,80.94,few clouds,5.7947,0.8973,Pin Drop Hotel
359,Uribia,CO,84.87,overcast clouds,11.7139,-72.266,Hotel Uribia
360,Pontianak,ID,76.98,overcast clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
361,Raga,SS,75.72,broken clouds,8.4596,25.678,
367,Viamao,BR,77.68,clear sky,-30.0811,-51.0233,OM B&B + Spa
368,Koumac,NC,78.64,overcast clouds,-20.5667,164.2833,Le Monitel
378,Saint-Louis,SN,87.44,broken clouds,16.3333,-15.0,
381,Mtambile,TZ,77.23,light rain,-5.3833,39.7,
383,Itarema,BR,79.68,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
385,Alofi,NU,80.49,few clouds,-19.0595,-169.9187,Taloa Heights
387,Soyo,AO,77.07,broken clouds,-6.1349,12.3689,Hospedaria ndozi'ame
389,Lhokseumawe,ID,76.44,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
391,Tautira,PF,76.46,light rain,-17.7333,-149.15,Pension Oaoa
392,Oussouye,SN,80.78,overcast clouds,12.485,-16.5469,Auberge du Routard
400,Takoradi,GH,78.46,broken clouds,4.8845,-1.7554,Raybow International Hotel
402,Salalah,OM,78.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
403,Kimbe,PG,78.49,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
409,Kandrian,PG,79.07,overcast clouds,-6.2167,149.55,Kandrian Station
412,Itaituba,BR,87.96,few clouds,-4.2761,-55.9836,Hotel Campos
414,Narayanganj,BD,75.22,clear sky,23.6233,90.5011,BIMT Old Hostel
415,Acarau,BR,79.93,few clouds,-2.8856,-40.12,castelo pizzaria
416,Matara,LK,75.81,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
426,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Pirineos
429,Port-Gentil,GA,76.96,broken clouds,-0.7193,8.7815,Fengshui Residence
430,Caraballeda,VE,85.37,broken clouds,10.6112,-66.8522,Ole Caribe
434,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
435,Miramar,US,78.82,few clouds,25.9873,-80.2323,Stadium Hotel
436,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
446,Inhambane,MZ,75.56,few clouds,-23.865,35.3833,Oceano
449,Cubarral,CO,76.8,broken clouds,3.7935,-73.8406,Hotel Shaloom
450,Jardim,BR,85.33,clear sky,-21.4803,-56.1381,Estancia Hotel - Jardim MS
457,Luba,GQ,79.29,light rain,3.4568,8.5547,
461,Manggar,ID,79.56,overcast clouds,-2.8833,108.2667,Guest Hotel
462,Saint-Georges,GD,82.08,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
464,Rio Das Pedras,BR,76.64,clear sky,-22.8433,-47.6061,LucasDM
474,San Carlos,VE,78.21,overcast clouds,9.6612,-68.5827,Hotel Paternopoli
475,Auki,SB,80.76,overcast clouds,-8.7676,160.7034,Auki Motel
478,Isla Mujeres,MX,80.65,light rain,21.2311,-86.731,Hotel La Joya Isla Mujeres
487,Kirakira,SB,80.78,overcast clouds,-10.4544,161.9205,SanBiz Lodge
489,Pilar,BR,76.93,few clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
492,Mazatlan,MX,84.16,few clouds,23.2167,-106.4167,Hotel La Siesta
493,Calabozo,VE,80.94,overcast clouds,8.9242,-67.4293,Hotel Giardini
494,Nabire,ID,76.06,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
499,Makakilo City,US,82.72,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
500,Teluknaga,ID,81.63,haze,-6.0989,106.6381,Teluk Naga Seliong
504,Kavaratti,IN,81.79,clear sky,10.5669,72.642,Green leaf
506,Paso De Carrasco,UY,75.65,light rain,-34.8603,-56.0522,Hotel Sofitel Montevideo Casino Carrasco and Spa
512,Cilegon,ID,79.52,overcast clouds,-6.0174,106.0538,Forbis Hotel
521,Banda Aceh,ID,78.37,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
522,Kendari,ID,75.34,overcast clouds,-3.945,122.4989,Hotel Wixel
523,Ewa Beach,US,84.15,clear sky,21.3156,-158.0072,Base Lodging
528,Oistins,BB,82.49,few clouds,13.0667,-59.5333,Butterfly Beach Hotel
529,Jacareacanga,BR,81.45,heavy intensity rain,-6.2222,-57.7528,Casa do Ian😎
533,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
540,Qui Nhon,VN,76.19,few clouds,13.7667,109.2333,Seagull Hotel
541,Tawau,MY,75.33,overcast clouds,4.2498,117.8871,Shervinton Executive Boutique Hotel
556,Eyl,SO,76.98,clear sky,7.9803,49.8164,EYL AQUE SYSTEM
558,Pouebo,NC,78.96,overcast clouds,-20.4,164.5667,RIVÂT LODGE
559,Juxtlahuaca,MX,81.95,overcast clouds,17.4294,-99.1467,"Casa de Huespedes ""El centro"""
570,Yuli,NG,77.11,overcast clouds,9.6989,10.2744,
571,Bac Lieu,VN,78.22,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
572,Eirunepe,BR,87.49,overcast clouds,-6.6603,-69.8736,Hotel novo Acre & Comercial Aguiar
574,Monrovia,LR,78.67,broken clouds,6.3005,-10.7969,Sunset Inn
575,Celestun,MX,79.95,overcast clouds,20.8667,-90.4,Posada Lilia
578,Guanica,PR,84.51,clear sky,17.9716,-66.908,Copamarina Beach Resort & Spa
590,Frederico Westphalen,BR,77.45,clear sky,-27.3592,-53.3944,Hotel Palace Frederico
593,Linares,CL,85.53,scattered clouds,-35.85,-71.6,Hotel Real
594,Cururupu,BR,76.6,broken clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
598,Shakawe,BW,80.55,clear sky,-18.3667,21.85,EdenWood Lodge
600,Vila Do Maio,CV,77.79,broken clouds,15.1333,-23.2167,Hotel Marilu
603,Mogadishu,SO,79.25,clear sky,2.0371,45.3438,Hotel Juba
604,Kulhudhuffushi,MV,80.98,overcast clouds,6.6221,73.07,Haajy Guest House 1
608,Eydhafushi,MV,80.71,overcast clouds,5.1033,73.0708,Soneva Fushi
611,Poso,ID,76.62,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
614,Kahului,US,84.22,few clouds,20.8947,-156.47,Maui Seaside Hotel
616,Cabedelo,BR,79.47,clear sky,-6.9811,-34.8339,Pousada Camboinha
617,Hambantota,LK,75.54,few clouds,6.1241,81.1185,Bungalow 63
619,Salinopolis,BR,80.6,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
621,Marsh Harbour,BS,76.75,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
622,San Juan De Los Morros,VE,77.11,overcast clouds,9.9115,-67.3538,Hotel La Montaña
626,Maloma,PH,77.02,light rain,15.1135,120.0639,Brandenburg Resort
627,Pitimbu,BR,79.39,few clouds,-7.4706,-34.8086,Reserva do Abiaí
632,Atambua,ID,75.25,overcast clouds,-9.1061,124.8925,Ros Muskanan
651,Dwarka,IN,78.49,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
661,Denpasar,ID,76.71,broken clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
664,Bima,ID,77.72,broken clouds,-8.4667,118.7167,Lambitu Hotel
665,Boa Vista,BR,87.78,scattered clouds,2.8197,-60.6733,Aipana Plaza Hotel
666,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
668,Abu Dhabi,AE,78.82,clear sky,24.4667,54.3667,Beach Rotana
670,Brokopondo,SR,85.73,broken clouds,4.75,-55.1667,Matu Island
677,Labuhan,ID,78.24,light rain,-6.8844,112.2051,DoubleFAG
679,Aripuana,BR,78.49,overcast clouds,-9.1667,-60.6333,
680,Chisec,GT,82.63,light rain,15.8167,-90.2833,Hotel Estancia De La Virgen
683,Loiza,PR,83.8,scattered clouds,18.4313,-65.8802,Vacation Realty
684,Kantunilkin,MX,79.63,light rain,21.0917,-87.45,Posada Paraiso
686,Guanare,VE,89.62,overcast clouds,9.0418,-69.7421,Nuevo Hotel Coromoto
695,Dogondoutchi,NE,78.53,broken clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
696,Moranbah,AU,75.6,overcast clouds,-22.0016,148.0466,Property Vine - Monterey Moranbah
700,Bahia De Caraquez,EC,75.38,overcast clouds,-0.6,-80.4167,Saiananda Eco-Hotel
702,Carutapera,BR,77.61,overcast clouds,-1.195,-46.02,Lidera
705,Lakatoro,VU,83.64,few clouds,-16.0999,167.4164,Lakatoro Palm Lodge
706,Rio Grande,BR,82.51,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
710,Alappuzha,IN,77.0,light rain,9.49,76.3264,Panoramic Sea Resort
