City,City,Country,lat,lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Dikson,RU,73.5069,80.5464,5.67,95,100,,light snow
1,Tura,IN,25.5198,90.2201,60.87,89,0,,clear sky
2,Rikitea,PF,-23.1203,-134.9692,72.16,86,100,,light rain
3,Severo-Kurilsk,RU,50.6789,156.125,33.75,69,100,,overcast clouds
4,Chokurdakh,RU,70.6333,147.9167,-10.41,95,99,,overcast clouds
5,Port Elizabeth,ZA,-33.918,25.5701,65.1,86,100,,overcast clouds
6,Sitka,US,57.0531,-135.33,44.49,65,20,,few clouds
7,Sale,MA,34.0389,-6.8166,65.75,100,75,,broken clouds
8,Northam,GB,51.0333,-4.2167,51.62,81,28,,scattered clouds
9,Pierre,US,44.3683,-100.351,20.32,63,100,,overcast clouds
10,Klaksvik,FO,62.2266,-6.589,47.32,83,100,,light rain
11,Nikolskoye,RU,59.7035,30.7861,30.09,87,8,,clear sky
12,Ponta Do Sol,PT,32.6667,-17.1,69.71,75,53,,broken clouds
13,Hithadhoo,MV,-0.6,73.0833,81.07,74,64,,broken clouds
14,Sao Felix Do Xingu,BR,-6.6447,-51.995,82.2,67,94,,light rain
15,Yellowknife,CA,62.456,-114.3525,17.56,72,49,,scattered clouds
16,Bethel,US,41.3712,-73.414,43.54,51,40,,scattered clouds
17,Kapaa,US,22.0752,-159.319,80.92,73,40,,scattered clouds
18,Delta Del Tigre,UY,-34.7633,-56.3853,75.61,46,75,,broken clouds
19,Butaritari,KI,3.0707,172.7902,80.71,74,60,,broken clouds
20,Lagoa,PT,39.05,-27.9833,60.67,60,5,,clear sky
21,Yulara,AU,-25.2406,130.9889,69.58,79,2,,clear sky
22,Barrow,US,71.2906,-156.7887,26.62,80,0,,clear sky
23,Cap Malheureux,MU,-19.9842,57.6142,69.48,63,28,,scattered clouds
24,Ushuaia,AR,-54.8,-68.3,51.46,58,75,,broken clouds
25,Esperance,AU,-33.8667,121.9,56.44,78,67,,broken clouds
26,Dicabisagan,PH,17.0818,122.4157,76.75,88,99,,moderate rain
27,Yatou,CN,37.15,122.3833,49.33,73,3,,clear sky
28,Kodiak,US,57.79,-152.4072,42.31,93,100,,overcast clouds
29,Lompoc,US,34.6391,-120.4579,75.78,30,0,,clear sky
30,Vestmannaeyjar,IS,63.4427,-20.2734,46.62,84,71,,broken clouds
31,Sorong,ID,-0.8833,131.25,79.11,87,100,,overcast clouds
32,Castro,BR,-24.7911,-50.0119,68.56,55,2,,clear sky
33,Hilo,US,19.7297,-155.09,84.25,78,40,,scattered clouds
34,Cape Town,ZA,-33.9258,18.4232,61.12,68,100,,overcast clouds
35,Anan,JP,33.9167,134.65,55.98,65,0,,clear sky
36,Norman Wells,CA,65.282,-126.8329,16.32,79,32,,scattered clouds
